S/N,employee_id,hire_year,year,period,department,level,tenure_years,years_in_role,manager_id,promotion_status,training_participation_intensity,prior_performance,performance_score,performance_change
1,EMP001,2015,2023,H1,IB,Senior Vice President,8.0,0.75,EMP032,0,2,90.41,92.63,2.22
2,EMP001,2015,2023,H2,IB,Senior Vice President,8.0,1.25,EMP032,0,1,92.63,95.34,2.71
3,EMP001,2015,2024,H1,IB,Senior Vice President,9.0,1.75,EMP032,0,1,95.34,95.35,0.01
4,EMP001,2015,2024,H2,IB,Senior Vice President,9.0,2.25,EMP032,0,2,95.35,90.56,-4.79
5,EMP002,2024,2024,H2,IB,Vice President,0.3,0.8,EMP001,0,1,,90.28,
6,EMP002,2024,2025,H1,IB,Vice President,1.0,1.3,EMP001,0,1,90.28,90.0,-0.28
7,EMP002,2024,2025,H2,IB,Vice President,1.0,1.8,EMP001,0,2,90.0,91.0,1.0
8,EMP003,2024,2024,H2,IB,Associate Vice President,0.5,1.0,EMP001,0,2,,87.55,
9,EMP003,2024,2025,H1,IB,Associate Vice President,1.0,1.5,EMP001,0,1,87.55,86.84,-0.71
10,EMP003,2024,2025,H2,IB,Associate Vice President,1.0,2.0,EMP001,0,1,86.84,88.4,1.56
11,EMP004,2022,2023,H1,IB,Associate,1.0,0.7,EMP001,0,1,86.94,86.35,-0.59
12,EMP004,2022,2023,H2,IB,Associate,1.0,1.2,EMP001,0,2,86.35,87.34,0.99
13,EMP004,2022,2024,H1,IB,Principal Associate,2.0,0.1,EMP001,1,1,87.34,84.6,-2.74
14,EMP004,2022,2024,H2,IB,Principal Associate,2.0,0.6,EMP001,0,1,84.6,87.43,2.83
15,EMP004,2022,2025,H1,IB,Principal Associate,3.0,1.1,EMP001,0,2,87.43,86.44,-0.99
16,EMP004,2022,2025,H2,IB,Principal Associate,3.0,1.6,EMP001,0,2,86.44,83.68,-2.76
17,EMP005,2024,2024,H2,IB,Principal Associate,0.4,1.0,EMP001,0,1,,86.89,
18,EMP005,2024,2025,H1,IB,Principal Associate,1.0,1.5,EMP001,0,2,86.89,83.12,-3.77
19,EMP005,2024,2025,H2,IB,Principal Associate,1.0,2.0,EMP001,0,1,83.12,81.91,-1.21
20,EMP006,2022,2023,H1,IB,Analyst III,1.0,1.1,EMP001,0,2,79.73,83.09,3.36
